classifier,category,accuracy,f1,support
1A,n,0.9642857142857143,0.8852459016393442,28.0
1A,y,0.9779411764705882,0.987012987012987,272.0
1B,M,0.9852941176470589,0.9871086556169429,272.0
1B,n,0.7142857142857143,0.8333333333333334,7.0
1B,y,0.9523809523809523,0.8888888888888888,21.0
2A,M,0.8571428571428571,0.9230769230769231,7.0
2A,n,0.9605911330049262,0.9653465346534653,203.0
2A,y,0.9444444444444444,0.9289617486338798,90.0
2B,M,0.7142857142857143,0.8333333333333334,7.0
2B,n,0.9812734082397003,0.9650092081031307,267.0
2B,y,0.5384615384615384,0.6222222222222222,26.0
2C,0,0.9333333333333333,0.8235294117647058,15.0
2C,1,0.9411764705882353,0.9696969696969697,17.0
2C,2,0.9325842696629213,0.8972972972972973,89.0
2C,4,0.0,0.0,1.0
2C,M,0.0,0.0,7.0
2C,u,0.9239766081871345,0.9294117647058824,171.0
3A,M,0.8571428571428571,0.9230769230769231,7.0
3A,n,0.9963503649635036,0.9891304347826086,274.0
3A,y,0.7894736842105263,0.8571428571428571,19.0
4A,M,0.0,0.0,7.0
4A,n,0.8583333333333333,0.8728813559322034,120.0
4A,o,0.9122807017543859,0.8739495798319328,57.0
4A,y,0.8879310344827587,0.865546218487395,116.0
